,PC1,PC2,PC3,PC4,PC5,PC6
precipitacion_mm,-0.3954689035972988,0.671992523341342,-0.49117457201045495,0.08422064448148021,-0.30457953513931424,-0.1634787221120504
lluvia_mm,-0.3954689035972986,0.6719925233413414,-0.49117457201045495,0.08422064448148038,-0.30457953513931413,-0.16347872211205045
evapotranspiracion_mm,0.926590178511853,0.23425146939769784,0.07209634337486699,0.17480574183332023,-0.03923387565401275,0.0069080089861471355
temp_media_c,0.7135602333906369,0.6208022069829263,0.16673866766169537,-0.23074874257835612,0.07936863353521825,0.044821225085550025
temp_max_c,0.7996910195798137,0.49901698286331175,0.19417320216479603,-0.21443925546931444,-0.00963154270709272,-0.024806851343525345
temp_min_c,0.5333590252682846,0.7245846071766986,0.12442802481992606,-0.2440635759605881,0.2023636768764909,0.133136140453612
horas_precipitacion,-0.43406234447516384,0.6495334396216107,-0.45362316283393794,-0.007505377375478731,-0.030236106827358614,-0.025923848857256595
viento_max_km_h,0.46930421453365945,0.15115059610759982,-0.33829582280658055,0.6853533581233249,0.2448497243106297,0.10441947240614094
viento_medio_km_h,0.2676421822803492,0.014045583089091169,-0.3744823780586477,0.7839981474869491,0.2519075376766892,0.11243928101013038
deficit_presion_vapor_kpa,0.8968283162984794,0.23879959687060995,0.1550731713583248,-0.08620620353287901,-0.10667890673015787,-0.15401448103261492
radiacion_solar_mj_m2,0.8177728658058908,0.19816792023614416,0.1481148480234713,0.16759751471531062,-0.13031996244067617,0.13998407373986482
humedad_relativa_pct,-0.7016856784650096,0.3883043729157241,0.05784757350958794,-0.17890018441137343,0.20047773970995786,0.3974993588918926
cobertura_nubes_pct,-0.35753139497482234,0.2893159695979337,-0.17337725226949668,-0.27175317984966324,0.662357881395117,-0.39516784293162804
humedad_suelo_0_100cm,-0.4757420269968768,0.3247752699666997,0.700729113955044,0.3678084823775308,-0.011925321910995068,-0.19429638802090732
humedad_suelo_0_7cm,-0.6599368119511742,0.46498026867819586,0.2335928337383606,0.04902398365391368,0.011059507276014065,0.3659447337479671
humedad_suelo_28_100cm,-0.31102844226455945,0.2425930268580711,0.6866195075978049,0.40392980122870825,-0.003271504871531943,-0.38753699889972326
humedad_suelo_7_28cm,-0.574376690547144,0.2964984112898961,0.5472678134580906,0.19716048772331482,-0.04086138986932647,0.20786474176605277
